Medication,Code_Type,Code,include_james,include_dorsa,include_consensus,include_james 2,Unnamed: 7,include_final
Acetaminophen 160 mg/5 ml Oral Elixir,EPIC-MED,1579,0,0,True,,,0
Doxycycline Monohydrate 50 mg Capsule,EPIC-MED,9901,1,1,True,,,1
Minocycline 100 mg Tablet,EPIC-MED,5112,1,1,True,,,1
Doxylamine Succinate 25 mg Tablet,EPIC-MED,14847,0,0,True,,,0
Osm_aminocaproic acid infusion in ns 60 mg/ml (250 ml) MGH,EPIC-MED,7002133,0,0,True,,,0
Azithromycin ivpb 250 ml ahfm mvh_nsm,EPIC-MED,6004080350,0,0,True,,,0
Doxycycline ivpb 100 ml ahfm NSM,EPIC-MED,6004080440,0,0,True,,,0
Azithromycin ivpb in ns 500 mg (250 ml) cmpd nsm_cdh_bwh,EPIC-MED,702407,0,0,True,,,0
Tamoxifen 10 mg Tablet,EPIC-MED,7711,0,0,True,,,0
Acetaminophen 500 mg/50 ml (10 mg/ml) intravenous solution,EPIC-MED,207006,0,0,True,,,0
Minocycline hcl cap 50,MGH_CC,825420,1,1,True,,,1
Hydrocodone 10mg - acetaminophen 500mg - LMR 8195,LMR,8195,0,0,True,,,0
Doxylamine succinate - LMR 1689,LMR,1689,0,0,True,,,0
Vicodin hp (hydrocodone/ acetaminophen 10 mg/660 mg) - LMR 5043,LMR,5043,0,0,True,,,0
Hydrocodone/ acetaminophen 10 mg/325mg - LMR 5900,LMR,5900,0,0,True,,,0
Pramoxine hcl 1% - LMR 631,LMR,631,0,0,True,,,0
Doxycycline (dental) hyclate - LMR 5189,LMR,5189,1,1,True,,,1
"Injection, acetaminophen (fresenius kabi) not therapeutically equivalent to j0131, 10 mg",HCPCS,J0134,0,0,True,,,0
"Injection, acetaminophen (b braun) not therapeutically equivalent to j0131, 10 mg",HCPCS,J0136,0,0,True,,,0
Bactrim ds-oncall,ONCALL,DSNA4-1,1,1,True,,,1
Acetaminophen-oncall,ONCALL,WSHL1,0,0,True,,,0
Tamoxifen - LMR 720,PAML-LMR,720,0,0,True,,,0
Acetaminophen elixir - LMR 6,PAML-LMR,6,0,0,True,,,0
"Injection, trimethobenzamide hcl, up to 200 mg",HCPCS,J3250,0,0,True,,,0
Cephalexin 500mg capsule,BWH_CC,940150,1,1,True,,,1
Aminophylline 25 mg/ml solution,BWH_CC,906505,0,0,True,,,0
"Injection, aminophyllin, Up To 250 Mg",HCPCS,J0280,0,0,True,,,0
Sulfamethoxazole-trimethoprim 200mg-40 mg/5ml suspension,BWH_CC,910268,1,1,True,,,1
Doxycycline hyclate 100mg capsule 100 ea bottle,BWH_CC,941695,1,1,True,,,1
Aminocaproic Acid Infusion In Ns 60 mg/ml (250 ml) Cmpd BWH,EPIC-MED,700538,0,0,True,,,0
Tetracaine Hcl (Pf) 0.5 % Eye Drops,EPIC-MED,126779,0,0,True,,,0
Isometheptene-Dichloralphen-Acetaminophen 65 mg-100 mg-325 mg Capsule,EPIC-MED,4018,0,0,True,,,0
